Product Name,Brands,Prices,Description,Reviews,remove,After comma,RAM,ROM,display,camera,Battery,Processor,
"Xiaomi 12 Pro 5G (Noir Black, 256 GB)",Xiaomi,"35,990",8 GB RAM | 256 GB ROM17.09 cm (6.73 inch) Full HD+ Display50MP + 50MP + 50MP | 32MP Front Camera4600 mAh Lithium Polymer BatterySnapdragon 8 Gen 1 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.1,8 GB RAM  256 GB ROM17.09 cm (6.73 inch) Full HD+ Display50MP + 50MP + 50MP  32MP Front Camera4600 mAh Lithium Polymer BatterySnapdragon 8 Gen 1 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"8 GB RAM,  256 GB ROM,17.09 cm (6.73 inch) Full HD+ Display,50MP + 50MP + 50MP  32MP Front Camera,4600 mAh Lithium Polymer Battery,Snapdragon 8 Gen 1 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",8 GB RAM,256 GB ROM,17.09 cm (6.73 inch) Full HD+ Display,50MP + 50MP + 50MP  32MP Front Camera,4600 mAh Lithium Polymer Battery,Snapdragon 8 Gen 1 Processor,
"vivo V40 5G (Lotus Purple, 256 GB)",vivo,"34,999",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.5,8 GB RAM  256 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP  50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"8 GB RAM,  256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP  50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories",8 GB RAM,256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP  50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,
"Google Pixel 7 Pro (Hazel, 128 GB)",Google,"44,999",12 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 48MP + 12MP | 10.8MP Front Camera4926 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,4.3,12 GB RAM  128 GB ROM17.02 cm (6.7 inch) Quad HD+ Display50MP + 48MP + 12MP  10.8MP Front Camera4926 mAh BatteryGoogle Tensor G2 Processor1 Year Domestic Warranty,"12 GB RAM,  128 GB ROM,17.02 cm (6.7 inch) Quad HD+ Display,50MP + 48MP + 12MP  10.8MP Front Camera,4926 mAh Battery,Google Tensor G2 Processor,1 Year Domestic Warranty",12 GB RAM,128 GB ROM,17.02 cm (6.7 inch) Quad HD+ Display,50MP + 48MP + 12MP  10.8MP Front Camera,4926 mAh Battery,Google Tensor G2 Processor,
"MOTOROLA razr 40 (Sage Green, 256 GB)",MOTOROLA,"44,999",8 GB RAM | 256 GB ROM17.53 cm (6.9 inch) Display64MP Rear Camera4200 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,3.9,8 GB RAM  256 GB ROM17.53 cm (6.9 inch) Display64MP Rear Camera4200 mAh BatteryBrand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,"8 GB RAM,  256 GB ROM,17.53 cm (6.9 inch) Display,64MP Rear Camera,4200 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories",8 GB RAM,256 GB ROM,17.53 cm (6.9 inch) Display,64MP Rear Camera,4200 mAh Battery,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,
"OnePlus 9 Pro 5G (Stellar Black, 128 GB)",OnePlus,"35,555",8 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera4500 mAh Battery1 Year Warranty,4.1,8 GB RAM  128 GB ROM17.02 cm (6.7 inch) Display48MP Rear Camera4500 mAh Battery1 Year Warranty,"8 GB RAM,  128 GB ROM,17.02 cm (6.7 inch) Display,48MP Rear Camera,4500 mAh Battery,1 Year Warranty",8 GB RAM,128 GB ROM,17.02 cm (6.7 inch) Display,48MP Rear Camera,4500 mAh Battery,1 Year Warranty,
"vivo V29 Pro 5G (Blue, 256 GB)",vivo,"38,699",12 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 12MP + 8MP | 50MP Front Camera4600 mAh BatteryDimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.5,12 GB RAM  256 GB ROM17.22 cm (6.78 inch) Full HD+ AMOLED Display50MP + 12MP + 8MP  50MP Front Camera4600 mAh BatteryDimensity 8200 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"12 GB RAM,  256 GB ROM,17.22 cm (6.78 inch) Full HD+ AMOLED Display,50MP + 12MP + 8MP  50MP Front Camera,4600 mAh Battery,Dimensity 8200 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",12 GB RAM,256 GB ROM,17.22 cm (6.78 inch) Full HD+ AMOLED Display,50MP + 12MP + 8MP  50MP Front Camera,4600 mAh Battery,Dimensity 8200 Processor,
"vivo V40 5G (Ganges Blue, 512 GB)",vivo,"42,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.6,12 GB RAM  512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP  50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"12 GB RAM,  512 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP  50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories",12 GB RAM,#VALUE!,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP  50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,
"vivo V40 5G (Lotus Purple, 512 GB)",vivo,"42,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.6,12 GB RAM  512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP  50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"12 GB RAM,  512 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP  50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories",12 GB RAM,512 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP  50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,
"vivo V40 5G (Titanium Grey, 512 GB)",vivo,"43,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP | 50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.6,12 GB RAM  512 GB ROM17.22 cm (6.78 inch) Full HD+ Display50MP + 50MP  50MP Front Camera5500 mAh BatterySnapdragon 7 Gen 3 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,"12 GB RAM,  512 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP  50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,1 Year Warranty on Handset and 6 Months Warranty on Accessories",12 GB RAM,512 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,50MP + 50MP  50MP Front Camera,5500 mAh Battery,Snapdragon 7 Gen 3 Processor,
"OPPO Reno10 Pro+ 5G (Glossy Purple, 256 GB)",OPPO,"44,990",12 GB RAM | 256 GB ROM17.12 cm (6.74 inch) Full HD+ Display50MP + 64MP + 8MP | 32MP Front Camera4700 mAh BatterySnapdragon 8+ Gen 1 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.5,12 GB RAM  256 GB ROM17.12 cm (6.74 inch) Full HD+ Display50MP + 64MP + 8MP  32MP Front Camera4700 mAh BatterySnapdragon 8+ Gen 1 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,"12 GB RAM,  256 GB ROM,17.12 cm (6.74 inch) Full HD+ Display,50MP + 64MP + 8MP  32MP Front Camera,4700 mAh Battery,Snapdragon 8+ Gen 1 Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories",12 GB RAM,256 GB ROM,17.12 cm (6.74 inch) Full HD+ Display,50MP + 64MP + 8MP  32MP Front Camera,4700 mAh Battery,Snapdragon 8+ Gen 1 Processor,
"Honor 200 Pro 5G (Black, 512 GB)",Honor,"38,000",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories,4,12 GB RAM  512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP  50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories,"12 GB RAM,  512 GB ROM,17.22 cm (6.78 inch) Full HD+ Super AMOLED Display,50MP + 50MP + 12MP  50MP Front Camera,5200 mAh Battery,Snapdragon 8s Gen 3 Processor,1 year manufacturer's warranty for handset & 6 months for accessories",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
"Honor 200 Pro 5G (Ocean Cyan, 512 GB)",Honor,"41,999",12 GB RAM | 512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP | 50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories,4,12 GB RAM  512 GB ROM17.22 cm (6.78 inch) Full HD+ Super AMOLED Display50MP + 50MP + 12MP  50MP Front Camera5200 mAh BatterySnapdragon 8s Gen 3 Processor1 year manufacturer's warranty for handset & 6 months for accessories,"12 GB RAM,  512 GB ROM,17.22 cm (6.78 inch) Full HD+ Super AMOLED Display,50MP + 50MP + 12MP  50MP Front Camera,5200 mAh Battery,Snapdragon 8s Gen 3 Processor,1 year manufacturer's warranty for handset & 6 months for accessories",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,
"SAMSUNG Galaxy S23 5G (Lavender, 256 GB)",SAMSUNG,"49,999",8 GB RAM | 256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP | 12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,4.6,8 GB RAM  256 GB ROM15.49 cm (6.1 inch) Full HD+ Display50MP + 10MP + 12MP  12MP Front Camera3900 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,"8 GB RAM,  256 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,50MP + 10MP + 12MP  12MP Front Camera,3900 mAh Lithium Ion Battery,Qualcomm Snapdragon 8 Gen 2 Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories",8 GB RAM,256 GB ROM,15.49 cm (6.1 inch) Full HD+ Display,50MP + 10MP + 12MP  12MP Front Camera,3900 mAh Lithium Ion Battery,Qualcomm Snapdragon 8 Gen 2 Processor,
"IQOO Neo 9 Pro (Conqueror Black, 256 GB)",IQOO,"41,990",8 GB RAM | 256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5160 mAh Battery1 Year on Handset and 6 Months on Accessories,4.5,8 GB RAM  256 GB ROM17.22 cm (6.78 inch) Display50MP Rear Camera5160 mAh Battery1 Year on Handset and 6 Months on Accessories,"8 GB RAM,  256 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,5160 mAh Battery,1 Year on Handset and 6 Months on Accessories",8 GB RAM,256 GB ROM,17.22 cm (6.78 inch) Display,50MP Rear Camera,5160 mAh Battery,1 Year on Handset and 6 Months on Accessories,
"Apple iPhone 14 (Starlight, 128 GB)",Apple,"54,999","128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP | 12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",4.6,"128 GB ROM15.49 cm (6.1 inch) Super Retina XDR Display12MP + 12MP  12MP Front CameraA15 Bionic Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.","128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP  12MP Front Camera,A15 Bionic Chip, 6 Core Processor, Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.",128 GB ROM,128 GB ROM,12MP + 12MP  12MP Front Camera,12MP + 12MP  12MP Front Camera,6 Core Processor,Processor,
"Apple iPhone 11 (Black, 128 GB)",Apple,"48,900",128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP | 12MP Front CameraA13 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,4.6,128 GB ROM15.49 cm (6.1 inch) Liquid Retina HD Display12MP + 12MP  12MP Front CameraA13 Bionic Chip Processor1 year warranty for phone and 1 year warranty for in Box Accessories.,"128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display,12MP + 12MP  12MP Front Camera,A13 Bionic Chip Processor,1 year warranty for phone and 1 year warranty for in Box Accessories.",128 GB ROM,128 GB ROM,12MP + 12MP  12MP Front Camera,12MP + 12MP  12MP Front Camera,A13 Bionic Chip Processor,#VALUE!,
"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)",Apple,"39,900","64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera | 7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers | Qi Chargers are Sold Separately1 year warranty for phone and 1 year warranty for in Box Accessories.",4.5,"64 GB ROM11.94 cm (4.7 inch) Retina HD Display12MP Rear Camera  7MP Front CameraA13 Bionic Chip with 3rd Gen Neural Engine ProcessorWater and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers  Qi Chargers are Sold Separately1 year warranty for phone and 1 year warranty for in Box Accessories.","64 GB ROM,11.94 cm (4.7 inch) Retina HD Display,12MP Rear Camera,  7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,Water and Dust Resistant (1 meter for Upto 30 minutes, IP67)Fast Charge CapableWireless charging (Works with Qi Chargers  Qi Chargers are Sold Separately1 year warranty for phone and 1 year warranty for in Box Accessories.",64 GB ROM,64 GB ROM,12MP Rear Camera,7MP Front Camera,A13 Bionic Chip with 3rd Gen Neural Engine Processor,Water and Dust Resistant (1 meter for Upto 30 minutes,
"Apple iPhone XR (Yellow, 64 GB) (Includes EarPods, Power Adapter)",Apple,"47,900",64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 Compatible1 year warranty for phone and 1 year warranty for in Box Accessories.,4.6,64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera  7MP Front CameraA12 Bionic Chip ProcessoriOS 13 Compatible1 year warranty for phone and 1 year warranty for in Box Accessories.,"64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera,  7MP Front Camera,A12 Bionic Chip Processor,iOS 13 Compatible1 year warranty for phone and 1 year warranty for in Box Accessories.",64 GB ROM,64 GB ROM,12MP Rear Camera,7MP Front Camera,A12 Bionic Chip Processor,iOS 13 Compatible1 year warranty for phone and 1 year warranty for in Box Accessories.,
"Apple iPhone XR (White, 64 GB) (Includes EarPods, Power Adapter)",Apple,"47,900",64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera | 7MP Front CameraA12 Bionic Chip ProcessoriOS 13 Compatible1 year warranty for phone and 1 year warranty for in Box Accessories.,4.6,64 GB ROM15.49 cm (6.1 inch) Display12MP Rear Camera  7MP Front CameraA12 Bionic Chip ProcessoriOS 13 Compatible1 year warranty for phone and 1 year warranty for in Box Accessories.,"64 GB ROM,15.49 cm (6.1 inch) Display,12MP Rear Camera,  7MP Front Camera,A12 Bionic Chip Processor,iOS 13 Compatible1 year warranty for phone and 1 year warranty for in Box Accessories.",64 GB ROM,64 GB ROM,12MP Rear Camera,7MP Front Camera,A12 Bionic Chip Processor,iOS 13 Compatible1 year warranty for phone and 1 year warranty for in Box Accessories.,
